CAN_CONFEDERATION_WARS_UNLOCKED;The age of confederation has begun;;;;;;;;;;;;;x,,
CONFEDERATION;Confederation War;;;;;;;;;;;;;x,,
united;United;;;;;;;;;;;;;x
united_full;United Church of Canada;;;;;;;;;;;;;x
united_opinion;[united.GetName] Opinion;;;;;;;;;;;;;x,,
united_DESC;Named after a pre-event protestant order, the United Church of Canada was formed from the unification of many protestant and non-denominational groups who were presucuted by the Anglicans and Ursuline. There is no formal head of the church, nor any central doctrine other than to unite the warring canadian states under faith in God.;;;;;;;;;;;;;x,,

ALT_UNITED;The [united.GetName] Paparchy;Paparchie [united.GetName];Die [united.GetName]e Paparchie;;El papado [united.GetName];;;;;;;;;x,,
ALT_UNITED_ADJ;[united.GetName] Paparchy;Paparchie [united.GetName];[united.GetName]e Tempel;;temple[united.GetName];;;;;;;;;x,,

secret_religious_society_united;[GetReligiousCommunityName_united];[GetReligiousCommunityName_united];[GetReligiousCommunityName_united];;[GetReligiousCommunityName_united];;;;;;;;;x,,
secret_religious_society_united;[GetReligiousCommunityName_united];[GetReligiousCommunityName_united];[GetReligiousCommunityName_united];;[GetReligiousCommunityName_united];;;;;;;;;x,,
alt_start_community_name_united;The [united.GetName] Faithful;;;;;;;;;;;;;x,,
secret_religious_society_united_desc;[GetReligiousSocietyDesc_united];[GetReligiousSocietyDesc_united];[GetReligiousSocietyDesc_united];;[GetReligiousSocietyDesc_united];;;;;;;;;x,,
secret_religious_society_united_desc_REAL;Ever since its humble roots Christians have marked themselves by their refusal to abandon their faith in the face of no matter what they are outwardly forced to profess. To each other they can profess their true faith in God  and their God is love.;;;;;;;;x,,
secretly_convert_to_united_holy_site;Secretly Convert to united;;;;;;;;;;;;;x,,
secretly_convert_to_united_holy_site_desc;The §Yunited§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;;;x,,
secret_religious_society_united_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x,,
secret_religious_society_united_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;x,,
secret_religious_society_united_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;x,,
secret_religious_society_united_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;x,,
secret_religious_society_united_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;x,,
secret_religious_society_united_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;x,,
secret_religious_society_united_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;x,,
secret_religious_society_united_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;x,,
secret_religious_society_united_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;x,,
secret_religious_community_united;Secret united Community;;;;;;;;;;;;;x,,
secret_united_community;Secret united Community;;;;;;;;;;;;;x,,
